title,author,price,avg_reviews
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"[Hariom Tatsat,Sahil Puri et al.]",44.49,4.3
Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data,[Susan McGregor],31.99,3.5
Cracking the Data Science Interview: 101+ Data Science Questions & Solutions,[Maverick Lin],11.99,3.7
SQL for Data Scientists: A Beginners Guide for Building Datasets for Analysis,[Renee M. P. Teate],32.49,4.7
MLOps Engineering at Scale,[Carl Osipov],44.49,4.2
The Data Science Design Manual (Texts in Computer Science),,52.05,4.8
Big Data: A Very Short Introduction (Very Short Introductions),[Dawn E. Holmes],11.07,4.4
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[Cathy Tanimura],40.49,4.7
The Cyberwarrior Handbook: A Beginners Guide to Hacking from Recon to Exploitation,[OccupyTheWeb],49.99,
Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"[Angelica Lo Duca,Gideon Mendels]",44.99,5
Optimization for Data Analysis,"[Stephen J. Wright,Benjamin Recht]",38.91,5
The Self-Taught Computer Scientist: The Beginners Guide to Data Structures & Algorithms,[Cory Althoff],19.49,4.5
Quantitative Social Science: An Introduction in tidyverse,"[Kosuke Imai,Nora Webb Williams]",49.99,3.8
Data Science Interview: Prep for SQL Panda Python R Language Machine Learning DBMS and RDBMS â€“ And More â€“ The Full Data Scientist Interview Handbook,[DSI ACE PREP],24.99,4.7
The Data Vault Guru: a pragmatic guide on building a data vault,[Mr Patrick Cuba],76.96,4.1
Responsible Data Science,"[Grant Fleming,Peter C. Bruce]",19.86,3.8
Fundamentals of Data Science with MATLAB: Introduction to Scientific Computing Data Analysis and Data Visualization,[Arash Karimpour],26,4.5
Python for Data Science: Clear and Complete Guide to Data Science and Analysis with Python,[Alex Campbell],14.95,3.9
Learn Power BI: A comprehensive step--step guide for beginners to learn real-world business intelligence 2nd Edition,[Greg Deckler],44.64,4.4
Data Visualization with Excel Dashboards and Reports,[Dick Kusleika],22.99,4.4
Data Science For Dummies 2nd Edition,"[Lillian Pierson,Jake Porway]",41.02,4.4
Hands-On Data Structures and Algorithms with Python: Store manipulate and access data effectively and boost the performance of your applications 3rd Edition,[Dr. Basant Agarwal],44.99,4.6
Business Intelligence Analytics and Data Science: A Managerial Perspective,"[Ramesh Sharda,Dursun Delen et al.]",106.66,4.5
Guide to Data Science: Brief Introduction to the Quirky World of Data,[Aryan Goyal],14.99,5
Machine Learning for Time Series Forecasting with Python,[Francesca Lazzeri],32.49,3.9
Introduction to Computation: Haskell Logic and Automata (Undergraduate Topics in Computer Science),,33.9,5
Data Science: Concepts and Practice,"[Vijay Kotu,Bala Deshpande]",69.34,4.5
Inferential Network Analysis (Analytical Methods for Social Research),,54.81,4.7
Data Science In The Library: Tools and Strategies for Supporting Data-Driven Research and Instruction,[Joel Herndon],80.31,
Foundational Python for Data Science (Addison-Wesley Data & Analytics Series),,39.99,4.3
Integrating Data,"[Bill Inmon,Patty Haines et al.]",39.95,5
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,[Vince Buffalo],45.77,4.6
Python Crash Course 2nd Edition: A Hands-On Project-Based Introduction to Programming,[Eric Matthes],21.49,4.7
The Esri Guide to GIS Analysis Volume 3: Modeling Suitability Movement and Interaction (The ESRI Guide to GIS Analysis 3),[Andy Mitchell],33.93,4.4
The Applied SQL Data Analytics Workshop: Develop your practical skills and prepare to become a professional data analyst 2nd Edition,"[Matt Goldwasser,Upom Malik et al.]",34.99,4.6
Data Mesh: Delivering Data-Driven Value at Scale,[Zhamak Dehghani],51.89,4.5
End-to-End Data Science with SASÂ®: A Hands-On Programming Guide,[James Gearheart],39.95,4.5
An Introduction to Data Science,"[Jeffrey S. Saltz,Jeffrey M. Stanton]",44.86,4.4
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series),,99,4.4
Computer Science Unleashed: Harness the Power of Computational Systems,,29.95,4.9
R Statistics Cookbook: Over 100 recipes for performing complex statistical operations with R 3.5,[Francisco Juretig],24.99,4.6
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,[Jim Frost],18.91,4.5
Algorithms and Data Structures for Massive Datasets,"[Dzejla Medjedovic,Emin Tahirovic et al.]",59.99,3.8
Data Science (Chapman & Hall/CRC Data Science Series),"[Tiffany Timbers,Trevor Campbell et al.]",59.95,
Data Democratization with Domo: Bring together every component of your business to make better data-driven decisions using Domo,[Jeff Burtenshaw],49.99,4.8
Determannâ€™s Field Guide to Data Privacy Law: International Corporate Compliance (Elgar Compliance Guides),[Lothar Determann],73.08,
Data Visualization with Python for Beginners: Visualize Your Data using Pandas Matplotlib and Seaborn (Machine Learning & Data Science for Beginners),,19.99,4.1
Practical Synthetic Data Generation: Balancing Privacy and the Broad Availability of Data,"[Khaled El Emam,Lucy Mosquera et al.]",28.49,4.1
Data Analysis in Sports Science,"[Gabriel J. Sanders PhD,Corey A. Peacock PhD]",59.99,4.7
Python for Geospatial Data Analysis: Theory Tools and Practice for Location Intelligence,[Bonny McClain],66.49,
Data Science for Librarians (Library and Information Science Text Series),,65,5
Basketball Data Science: With Applications in R (Chapman & Hall/CRC Data Science Series),,43.35,4.1
Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data Data Visualization Business Intelligence & ... Science Python & Statistics for Beginners),,14.9,4.4
Bayesian Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),,78.22,4.7
Murachs Python for Data Analysis (Training & Reference),[Scott Mccoy],58.33,4.6
Cracking the Coding Interview: 189 Programming Questions and Solutions,[Gayle Laakmann McDowell],35.95,4.7
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,[Joshua Cook],49.49,3.7
Mastering PostgreSQL 13: Build administer and maintain database applications efficiently with PostgreSQL 13 4th Edition,[Hans-Jurgen Schonig],41.99,4.2
Data Analysis with Python and PySpark,[Jonathan Rioux],48,4.8
PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book,[TechExp Academy],24.9,4.2
DATA SCIENCE WITH PYTHON: Complete Guide To Understanding Data Analytics And Data Science With Python Programming (Code tutorials),[Craig Berg],9.98,
Data Analytics: Practical Guide to Leveraging the Power of Algorithms Data Science Data Mining Statistics Big Data and Predictive Analysis to Improve Business Work and Life,[Arthur Zhang],11.97,3.7
Introduction to Machine Learning,[Etienne Bernard],29.6,4.4
Hands-On Data Structures and Algorithms with Kotlin: Level up your programming skills understanding how Kotlins data structure works,"[Chandra Sekhar Nayak,Rivu Chakraborty]",36.99,3.6
Asking Smarter Questions: How To Be an Agent of Insight (Using Data Better),[Sam Knowles],39.95,
Scalable Data Analytics with Azure Data Explorer: Modern ways to query analyze and perform real-time data analysis on large volumes of data,"[Jason Myerscough,Arunee Singhchawla]",51.99,5
The Political Philosophy of AI: An Introduction,[Mark Coeckelbergh],19.59,3.7
Transformers for Machine Learning: A Deep Dive (Chapman & Hall/CRC Machine Learning & Pattern Recognition),"[Uday Kamath,Kenneth Graham et al.]",54.95,3.9
Predictive Analytics: Data Mining Machine Learning and Data Science for Practitioners (Pearson Business Analytics Series),[Dursun Delen],47.49,4.1
Pre-K-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II): A Framework for Statistics and Data Science Education,"[Anna Bargagliotti,Christine Franklin et al.]",15,5
Confident Data Skills: How to Work with Data and Futureproof Your Career (Confident Series),,14.64,4.7
Learning Tableau 2022,"[Joshua N. Milligan,Blair Hutchinson et al.]",55.09,5
The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling 3rd Edition,,40.16,4.7
Data Science in Education Using R,"[Ryan A. Estrellado,Jesse Mostipak et al.]",48.95,4.6
Data Mining with Rattle and R: The Art of Excavating Data for Knowledge Discovery (Use R!),,84.99,4.3
Statistics for Beginners in Data Science: Theory and Applications of Essential Statistics Concepts using Python (Machine Learning & Data Science for Beginners),,17.99,4.3
Detecting Regime Change in Computational Finance: Data Science Machine Learning and Algorithmic Trading,"[Jun Chen,Edward P K Tsang]",54.95,
Massive Graph Analytics (Chapman & Hall/CRC Data Science Series),,150,
Practical Data Science with R,"[Nina Zumel,John Mount]",35.74,4.5
Neo4j Graph Data Science Certified: Exam Practice Tests,[Cristian Scutaru],14.99,4.5
Grokking Machine Learning,[Luis Serrano],47.99,4.6
Data Science for Immunologists,"[Niclas Thomas,Laura Pallett]",28.06,4.7
Data Science Analytics and Machine Learning with R,"[Luiz Paulo Favero,Patricia Belfiore et al.]",150,
The TensorFlow Workshop: A hands-on guide to building deep learning models from scratch using real-world datasets,"[Matthew Moocarme,Anthony So et al.]",41.99,4.3
Data Action: Using Data for Public Good,[Sarah Williams],33.69,4.7
Data Governance For Dummies,[Jonathan Reichental],34.99,
A Criminologists Guide to R: Crime the Numbers (Chapman & Hall/CRC The R Series),[Jacob Kaplan],79.96,
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,[Mike Grigs],35.99,4.4
Applied Data Science: Lessons Learned for the Data-Driven Business,"[Martin Braschler,Thilo Stadelmann et al.]",179.99,1
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies,"[Blaine Bateman,Saikat Basak et al.]",47.49,4.6
Data Modeling for Azure Data Services: Implement professional data design and structures in Azure,[Peter ter Braake],51.99,4.6
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"[Upom Malik,Matt Goldwasser et al.]",27.89,4.4
Ethics of Data and Analytics: Concepts and Cases,[Kirsten Martin],69.95,
Introduction to Computation and Programming Using Python: With Application to Understanding Data (The MIT Press),[John V. Guttag],42.75,4.6
SQL: 3 books 1 - The Ultimate Beginner Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises,[Mark Reed],24.29,4.9
Machine Learning Bookcamp: Build a portfolio of real-life projects,[Alexey Grigorev],35.99,5
The Data Model Resource Book Vol. 2: A Library of Data Models for Specific Industries,"[Len Silverston,John A. Zachman]",61.82,4
Essential PySpark for Scalable Data Analytics: A beginners guide to harnessing the power and ease of PySpark 3,[Sreeram Nudurupati],46.99,4.5
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure,[Patrik Borosch],54.99,4.8
Can We Trust AI? (Johns Hopkins Wavelengths),"[Rama Chellappa,Eric Niiler]",16.95,
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,[Paul Crickard],37.79,4.2
Mastering Tableau 2021: Implement advanced business intelligence techniques and analytics with Tableau 3rd Edition,"[Marleen Meier,David Baldwin et al.]",46.99,4.4
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),,51,4.5
Malware Data Science: Attack Detection and Attribution,"[Joshua Saxe,Hillary Sanders]",37.03,4.6
Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7 3rd Edition,[Joel Lawhead],49.99,4.4
The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,"[Steve Wexler,Jeffrey Shaffer et al.]",24.49,4.6
Machine Learning with R: Expert techniques for predictive modeling 3rd Edition,[Brett Lantz],37.99,4.6
Hands-on Programmatic In-house Digital Advertising: Learn Data Design AI Implementation Bidding Strategies and Strategic Thinking (English Edition),[Raghavendra Agarwala],29.95,3.5
Ontology-Based Information Retrieval for Healthcare Systems,[Vishal Jain],197.02,
Data Governance: How to Design Deploy and Sustain an Effective Data Governance Program (The Morgan Kaufmann Series on Business Intelligence),,39.17,4.3
Data Science in Context: Foundations Challenges Opportunities,"[Alfred Z. Spector,Peter Norvig et al.]",39.99,
Python Machine Learning: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow 2 3rd Edition,"[Sebastian Raschka,Vahid Mirjalili]",49.39,4.5
Machine Learning in Biotechnology and Life Sciences: Build machine learning models using Python and deploy them on the cloud,[Saleh Alkhalifa],49.99,4.1
Data Science and Big Data Analytics: Discovering Analyzing Visualizing and Presenting Data,[EMC Education Services],41.76,4.4
Fundamentals of Data Science Part I: Inference and Experiment,[Jared M Maruskin],22.63,5
Graph Neural Networks: Foundations Frontiers and Applications,"[Lingfei Wu,Peng Cui et al.]",85.38,4.6
Data-Driven Evolutionary Optimization: Integrating Evolutionary Computation Machine Learning and Data Science (Studies in Computational Intelligence 975),,169.99,5
Getting Started with Elastic Stack 8.0: Run powerful and scalable data platforms to search observe and secure your organization,"[Asjad Athick,Shay Banon]",49.99,4.7
Functional Aesthetics for Data Visualization,"[Vidya Setlur,Bridget Cogley]",40,
R Programming for Data Science,[Roger Peng],25,4.2
Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete models,"[Dan Meador,Kevin Goldsmith]",44.99,5
Data Lakehouse in Action: Architecting a modern and scalable data analytics platform,[Pradeep Menon],39.99,4.3
Fundamentals of Data Science Part III: Machine Learning,[Jared M Maruskin],29.95,
Machine Learning and Big Data Analytics Paradigms: Analysis Applications and Challenges (Studies in Big Data 77),,13.32,
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis,"[Stefan Timmermans,Iddo Tavory]",20,4.4
Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured Unstructured datasets and Time Series Data (English Edition),[Rajdeep Dua],29.95,5
The Tableau Workshop: A practical guide to the art of data visualization with Tableau,"[Sumit Gupta,Sylvester Pinto et al.]",46.99,4.8
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),,14.19,4.5
The Hundred-Page Machine Learning Book,[Andriy Burkov],31.99,4.6
Oracle Database Administration Interview Questions Youll Most Likely Be Asked: Interview Questions Youll Most Likely Be Asked (Job Interview Questions Series),[Vibrant Publishers],23.99,4.2
Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,[Jim Frost],23.74,4.6
Game Data Science,"[Magy Seif El-Nasr,Truong-Huy D. Nguyen et al.]",73.09,5
The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling,"[Len Silverston,Paul Agnew]",51.31,4.4
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),,46.02,4.5
Combining DataOps MLOps and DevOps: Outperform Analytics and Software Development with Expert Practices on Process Optimization and Automation (English Edition),"[Dr. Kalpesh Parikh,Amit Johri]",29.95,3
Categorical Data Analysis for the Behavioral and Social Sciences,"[Razia Azen,Cindy M. Walker]",87.94,
Big Data and Artificial Intelligence: Complete Guide to Data Science AI Big Data and Machine Learning.,[Hans Weber],24.95,4.1
Hands-On Healthcare Data: Taming the Complexity of Real-World Data,[Andrew Nguyen],75.99,
Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights,[Michael Walker],37.13,4.8
DATA SCIENCE: Simple and Effective Tips and Tricks to Learn Data Science,[Benjamin Smith],15.39,3.9
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,"[Lewis Tunstall,Leandro von Werra et al.]",43.09,4.6
Data Mining for Business Analytics: Concepts Techniques and Applications in Python,"[Galit Shmueli,Peter C. Bruce et al.]",108.99,4.5
Quantitative Social Science Data with R: An Introduction,[Brian J Fogarty],51,4.9
Mathematics for Machine Learning,,46.54,4.7
Machine Learning for Time-Series with Python: Forecast predict and detect anomalies with state-of-the-art machine learning methods,[Ben Auffarth],49.39,4
Statistics for Health Data Science: An Organic Approach (Springer Texts in Statistics),,76.54,4.6
Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython,[William McKinney],53.99,4.6
Python Data Analysis: Perform data collection data processing wrangling visualization and model building using Python 3rd Edition,"[Avinash Navlani,Armando Fandango et al.]",34.99,4.7
R Cookbook: Proven Recipes for Data Analysis Statistics and Graphics,"[JD Long,Paul Teetor]",52.39,4.5
Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills),[Wayne Winston],40.99,4.6
Data Analysis for Social Science: A Friendly and Practical Introduction,"[Elena Llaudet,Kosuke Imai]",39.95,
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[Oz du Soleil,Bill Jelen]",34.95,5
Qualitative Data Analysis: A Methods Sourcebook,"[Matthew B. Miles,A. Michael Huberman et al.]",85.5,4.7
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[Paul McFedries],24.49,4
Data Analysis Using SQL and Excel,[Gordon S. Linoff],38.54,4.4
Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy ArcGIS API for Python Notebooks and pandas,"[Silas Toms,Bill Parker et al.]",,4.7
Python for Excel: A Modern Environment for Automation and Data Analysis,[Felix Zumstein],32.99,4.5
Storytelling with Data: Lets Practice!,[Cole Nussbaumer Knaflic],24.49,4.7
Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis data preparation forecasting and model evaluation,[Tarek A. Atwan],47.49,4.9
Data Driven Fire Administration: An Introduction to Research Methods Statistical Analysis and Analytic Management for the Fire Service,"[H Scott Walker,Karen L. Sears]",59.99,
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,[Jim Frost],23.74,4.6
MASTERING EXCEL DATA & STATISTICAL ANALYSIS: All-In-One Practical Approach to Creating and Analyzing Data Charts And Pivot Tables for Better Business ... Tricks on Data Analysis & Business Modelling,[CARTY BINN],23.37,
"Problems for ""Data Analysis for Social Scientists: A Foundational Crash Course""",[Sara Fisher Ellison],10,3.5
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,"[Ethan Bueno de Mesquita,Anthony Fowler]",28.45,4.3
Topological Data Analysis with Applications,"[Gunnar Carlsson,Mikael Vejdemo-Johansson]",42.58,5
Storytelling with Data: A Data Visualization Guide for Business Professionals,[Cole Nussbaumer Knaflic],28.49,4.6
R in Action: Data Analysis and Graphics with R,[Dr. Rob Kabacoff],51.96,4.6
Excel 2022: The Most Comprehensive Guide to Learn All Formulas and Functions in Just One Week with Step--Step Explanations Practical Examples & Picture Demonstrations.,[Kevin Cooper],19.62,4.9
Data Analysis: For Continuous School Improvement,[Victoria L. Bernhardt],39.96,4.6
Lab Manual for Statistical Analysis,"[Dawn M. McBride,J. Cooper Cutting]",30,4.8
Longitudinal Analysis: Modeling Within-Person Fluctuation and Change (Multivariate Applications Series),,76.98,4.6
Business Intelligence Guidebook: From Data Integration to Analytics,[Rick Sherman],54.95,4.4
Data Flow Diagrams - Simply Put!: Process Modeling Techniques for Requirements Elicitation and Workflow Analysis (Advanced Business Analysis Topics),,11.97,4.2
Julia for Data Analysis,[Bogumil Kaminski],59.99,
Qualitative Data Analysis: Practical Strategies,[Pat Bazeley],45,4.5
Econometric Analysis of Cross Section and Panel Data second edition (The MIT Press),[Jeffrey M. Wooldridge],115,4.5
Computational Topology for Biomedical Image and Data Analysis (Focus Series in Medical Physics and Biomedical Engineering),,1318.36,
R for Data Analysis in easy steps - R Programming essentials,,13.99,4.3
Regression Analysis of Count Data (Econometric Society Monographs Series Number 30),"[A. Colin Cameron,Pravin K. Trivedi]",,4.5
Secondary Data in Mixed Methods Research (Mixed Methods Research Series),,45,4.4
Data Analysis: A Bayesian Tutorial,"[Devinderjit Sivia,John Skilling]",47.97,4.6
Computational Topology for Data Analysis,"[Tamal Krishna Dey,Yusu Wang]",58.31,
Cluster Analysis 5th Edition,[Everitt],2451.69,4.2
Intelligent Reliability Analysis Using MATLAB and AI: Perform Failure Analysis and Reliability Engineering using MATLAB and Artificial Intelligence (English Edition),"[Dr. Cherry Bhargava,Dr. Pardeep Kumar Sharma]",19.95,
Data Analytics: Advanced Guide to Learn the Realms of Data Analytics Effectively,[Benjamin Smith],19.99,
Foundations of Crime Analysis: Data Analyses and Mapping,"[Jeffery T. Walker,Grant R. Drawve]",66.95,4.1
Qualitative Data Analysis with NVivo,"[Kristi Jackson,Pat Bazeley]",47,4.6
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,[Paul Houghton],44.99,4.8
Pandas 1.x Cookbook: Practical recipes for scientific computing time series analysis and exploratory data analysis using Python 2nd Edition,"[Matt Harrison,Theodore Petrou]",39.99,4.3
